,0,1,2,3
「愛着」_4,1,1,0,1
「愛着」_5,0,0,1,0
現状満足度[教育の充実]_3,1,1,0,0
現状満足度[教育の充実]_4,0,0,0,1
現状満足度[教育の充実]_5,0,0,1,0
現状満足度[生涯学習]_3,1,0,0,1
現状満足度[生涯学習]_4,0,1,1,0
現状満足度[生涯スポーツ]_3,0,0,1,1
現状満足度[生涯スポーツ]_4,1,0,0,0
現状満足度[生涯スポーツ]_5,0,1,0,0
現状満足度[移住]_2,0,0,1,0
現状満足度[移住]_3,0,0,0,1
現状満足度[移住]_4,1,1,0,0
現状満足度[町民参画]_1,0,0,1,0
現状満足度[町民参画]_3,1,1,0,1
現状満足度[財政運営]_2,0,1,1,0
現状満足度[財政運営]_3,0,0,0,1
現状満足度[財政運営]_4,1,0,0,0
現状満足度[子育て支援]_1,0,1,0,0
現状満足度[子育て支援]_3,0,0,1,0
現状満足度[子育て支援]_4,1,0,0,1
現状満足度[地域福祉]_2,0,1,0,0
現状満足度[地域福祉]_3,0,0,0,1
現状満足度[地域福祉]_4,1,0,1,0
現状満足度[高齢者福祉]_3,1,1,0,1
現状満足度[高齢者福祉]_5,0,0,1,0
現状満足度[障がい者福祉]_3,1,0,0,1
現状満足度[障がい者福祉]_4,0,1,1,0
現状満足度[医療]_3,1,0,1,1
現状満足度[医療]_5,0,1,0,0
現状満足度[社会保障]_2,0,0,1,0
現状満足度[社会保障]_3,0,0,0,1
現状満足度[社会保障]_4,1,0,0,0
現状満足度[社会保障]_5,0,1,0,0
現状満足度[農業]_1,0,0,1,0
現状満足度[農業]_3,0,0,0,1
現状満足度[農業]_4,1,1,0,0
現状満足度[農山村環境]_2,0,0,1,0
現状満足度[農山村環境]_3,0,1,0,1
現状満足度[農山村環境]_4,1,0,0,0
現状満足度[観光]_2,0,1,0,0
現状満足度[観光]_3,0,0,1,0
現状満足度[観光]_4,1,0,0,1
現状満足度[商工業]_1,0,1,0,0
現状満足度[商工業]_4,1,0,1,1
現状満足度[働く場]_2,0,1,0,0
現状満足度[働く場]_3,0,0,0,1
現状満足度[働く場]_4,1,0,0,0
現状満足度[働く場]_5,0,0,1,0
現状満足度[救急体制]_3,0,1,0,1
現状満足度[救急体制]_4,1,0,1,0
現状満足度[防災力]_3,0,0,1,1
現状満足度[防災力]_4,1,1,0,0
現状満足度[防犯]_2,0,0,1,0
現状満足度[防犯]_3,0,0,0,1
現状満足度[防犯]_4,1,0,0,0
現状満足度[防犯]_5,0,1,0,0
現状満足度[交通安全]_1,0,0,1,0
現状満足度[交通安全]_3,0,0,0,1
現状満足度[交通安全]_4,1,1,0,0
現状満足度[道路]_2,0,0,1,1
現状満足度[道路]_3,0,1,0,0
現状満足度[道路]_5,1,0,0,0
現状満足度[上下水道]_2,0,1,0,0
現状満足度[上下水道]_3,0,0,1,1
現状満足度[上下水道]_4,1,0,0,0
現状満足度[公園整備]_1,0,1,0,0
現状満足度[公園整備]_2,0,0,0,1
現状満足度[公園整備]_4,1,0,1,0
現状満足度[公共交通]_1,0,0,0,1
現状満足度[公共交通]_2,0,1,0,0
現状満足度[公共交通]_4,1,0,0,0
現状満足度[公共交通]_5,0,0,1,0
現状満足度[環境保全]_3,0,1,0,1
現状満足度[環境保全]_4,1,0,1,0
現状満足度[空家対策]_3,0,0,1,1
現状満足度[空家対策]_4,1,1,0,0
現状満足度[情報環境]_2,0,0,1,0
現状満足度[情報環境]_3,0,0,0,1
現状満足度[情報環境]_4,1,0,0,0
現状満足度[情報環境]_5,0,1,0,0
現状満足度[文化遺産活用]_1,0,0,1,0
現状満足度[文化遺産活用]_4,1,1,0,1
現状満足度[文化財調査研究]_2,0,0,1,0
現状満足度[文化財調査研究]_3,0,1,0,0
現状満足度[文化財調査研究]_4,1,0,0,1
現状満足度[芸術・文化]_2,0,1,0,0
現状満足度[芸術・文化]_3,0,0,1,0
現状満足度[芸術・文化]_4,1,0,0,1
現状満足度[景観保全]_1,0,1,0,0
現状満足度[景観保全]_4,1,0,1,1
